,LOAN IDENTIFIER,ORIGINATION CHANNEL,SELLER NAME,ORIGINAL INTEREST RATE,ORIGINAL UPB,ORIGINAL LOAN TERM,ORIGINATION DATE,FIRST PAYMENT DATE,ORIGINAL LOAN-TO-VALUE (LTV),ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),NUMBER OF BORROWERS,ORIGINAL DEBT TO INCOME RATIO,BORROWER CREDIT SCORE AT ORIGINATION,FIRST TIME HOME BUYER INDICATOR,LOAN PURPOSE,PROPERTY TYPE,NUMBER OF UNITS,OCCUPANCY TYPE,PROPERTY STATE,ZIP CODE SHORT,PRIMARY MORTGAGE INSURANCE PERCENT,PRODUCT TYPE,CO-BORROWER CREDIT SCORE AT ORIGINATION,MORTGAGE INSURANCE TYPE,RELOCATION MORTGAGE INDICATOR,LOAN_COUNT,VINTAGE_YEAR,VINTAGE_MONTH,LTV_BUCKET,UPB_BUCKET,FICO_BUCKET,TERM_BUCKET,INT_RT_BUCKET
35,100090668568,C,OTHER,4.375,224000,360,03/2017,05/2017,90,90,2,42,688.0,Y,P,PU,1,P,FL,328,25.0,FRM,747.0,1.0,N,1,2017,3,90,200000,650.0,360,4.375
36,100092010656,C,"WELLS FARGO BANK, N.A.",4.25,95000,360,05/2017,07/2017,66,66,1,15,702.0,Y,P,CO,1,P,MN,553,,FRM,,,N,1,2017,5,60,50000,700.0,360,4.25
37,100092978386,R,OTHER,4.875,98000,360,05/2017,07/2017,75,75,2,40,704.0,N,C,SF,1,P,AR,720,,FRM,687.0,,N,1,2017,5,70,50000,700.0,360,4.875
38,100095813457,R,OTHER,4.625,300000,360,03/2017,05/2017,75,75,2,17,778.0,N,P,CO,1,I,TN,377,,FRM,783.0,,N,1,2017,3,70,300000,750.0,360,4.625
39,100099785264,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.375,398000,360,03/2017,05/2017,90,90,1,40,698.0,N,P,SF,1,P,CA,925,25.0,FRM,,1.0,N,1,2017,3,90,350000,650.0,360,4.375
40,100104649923,R,OTHER,3.875,90000,360,05/2017,07/2017,24,24,2,37,791.0,N,R,SF,1,P,MT,590,,FRM,789.0,,N,1,2017,5,20,50000,750.0,360,3.875
41,100104701608,C,"WELLS FARGO BANK, N.A.",4.5,424000,360,04/2017,06/2017,78,90,1,25,709.0,N,P,PU,1,P,MO,630,,FRM,,,N,1,2017,4,70,400000,700.0,360,4.5
42,100104981797,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",4.625,414000,360,04/2017,06/2017,72,72,2,46,759.0,N,R,SF,3,P,CA,900,,FRM,719.0,,N,1,2017,4,70,400000,750.0,360,4.625
43,100107380769,B,OTHER,4.25,131000,360,06/2017,08/2017,90,90,2,44,768.0,N,P,SF,1,S,FL,330,25.0,FRM,742.0,1.0,N,1,2017,6,90,100000,750.0,360,4.25
44,100110138954,R,QUICKEN LOANS INC.,3.99,214000,240,05/2017,07/2017,75,75,1,31,740.0,N,C,PU,1,P,FL,320,,FRM,,,N,1,2017,5,70,200000,700.0,240,3.875
45,100111534663,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.75,365000,360,12/2016,02/2017,70,70,2,41,717.0,N,C,SF,2,P,MA,21,,FRM,719.0,,N,1,2016,12,70,350000,700.0,360,4.75
46,100112102779,C,U.S. BANK N.A.,5.0,244000,360,03/2017,05/2017,95,101,1,44,790.0,Y,P,PU,1,P,FL,329,16.0,FRM,,1.0,N,1,2017,3,90,200000,750.0,360,5.0
47,100112551768,R,OTHER,4.0,190000,360,03/2017,06/2017,43,43,2,34,791.0,N,C,SF,1,P,MA,10,,FRM,717.0,,N,1,2017,3,40,150000,750.0,360,4.0
48,100117033167,C,"WELLS FARGO BANK, N.A.",4.625,413000,360,02/2017,04/2017,95,95,2,39,739.0,N,P,SF,1,P,FL,334,30.0,FRM,739.0,1.0,N,1,2017,2,90,400000,700.0,360,4.625
49,100121434721,R,"WELLS FARGO BANK, N.A.",4.25,108000,180,03/2017,05/2017,97,97,1,30,712.0,Y,P,CO,1,P,MN,554,25.0,FRM,,1.0,N,1,2017,3,90,100000,700.0,180,4.25
50,100127592303,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.375,60000,360,03/2017,05/2017,95,95,1,30,693.0,Y,P,SF,1,P,OH,443,16.0,FRM,,1.0,N,1,2017,3,90,50000,650.0,360,4.375
51,100129782796,C,OTHER,3.875,140000,360,05/2017,07/2017,84,84,2,22,727.0,Y,P,SF,1,P,IA,523,12.0,FRM,760.0,1.0,N,1,2017,5,80,100000,700.0,360,3.875
52,100129811258,C,"WELLS FARGO BANK, N.A.",4.875,408000,360,04/2017,06/2017,70,90,2,27,641.0,Y,P,PU,1,P,TX,750,,FRM,674.0,,N,1,2017,4,70,400000,600.0,360,4.875
53,100130527171,R,"WELLS FARGO BANK, N.A.",5.75,90000,360,05/2017,07/2017,74,74,1,33,646.0,N,C,SF,1,I,CA,937,,FRM,,,N,1,2017,5,70,50000,600.0,360,5.75
54,100137073658,C,OTHER,3.625,187000,360,08/2016,10/2016,83,83,2,31,738.0,N,R,SF,1,P,PR,7,12.0,FRM,760.0,1.0,N,1,2016,8,80,150000,700.0,360,3.625
55,100143565698,C,OTHER,4.0,300000,360,05/2017,07/2017,74,74,2,38,752.0,N,R,SF,1,P,WI,542,,FRM,758.0,,N,1,2017,5,70,300000,750.0,360,4.0
56,100145497065,B,FRANKLIN AMERICAN MORTGAGE COMPANY,4.25,325000,360,05/2017,07/2017,82,82,1,39,770.0,N,P,SF,1,P,CT,64,12.0,FRM,,1.0,N,1,2017,5,80,300000,750.0,360,4.25
57,100146662237,R,OTHER,4.5,146000,360,05/2017,07/2017,89,89,1,42,785.0,N,R,SF,1,P,WA,985,25.0,FRM,,1.0,N,1,2017,5,80,100000,750.0,360,4.5
